ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8074791	3.13e-03	1.74e-03	3.344348	-1.982116	0.490656	MAPK1	mitogen-activated protein kinase 1
7979820	3.14e-03	1.74e-03	-3.344216	-1.98247	-0.241731		
8084323	3.14e-03	1.74e-03	3.344153	-1.98264	0.329829	DVL3	dishevelled segment polarity protein 3
8139468	3.14e-03	1.74e-03	3.344057	-1.982895	0.392335	TBRG4	transforming growth factor beta regulator 4
8037246	3.14e-03	1.74e-03	-3.343951	-1.983182	-0.598352	PSG6	pregnancy specific beta-1-glycoprotein 6
8105714	3.14e-03	1.74e-03	3.343749	-1.983722	0.534978	SREK1	splicing regulatory glutamic acid and lysine rich protein 1
8100458	3.14e-03	1.74e-03	-3.343605	-1.984107	-0.205291	PDCL2	phosducin like 2
7961320	3.15e-03	1.75e-03	-3.342118	-1.988093	-0.998891	PRB2///PRB4///PRB3///PRB1	proline rich protein BstNI subfamily 2///proline rich protein BstNI subfamily 4///proline rich protein BstNI subfamily 3///proline rich protein BstNI subfamily 1
8006392	3.15e-03	1.75e-03	3.342098	-1.988146	0.458823	PSMD11	proteasome 26S subunit, non-ATPase 11
8099593	3.16e-03	1.75e-03	-3.341583	-1.989526	-0.297376	KCNIP4	potassium voltage-gated channel interacting protein 4
8108134	3.16e-03	1.75e-03	3.341547	-1.989623	0.453172	DDX46	DEAD-box helicase 46
8056250	3.16e-03	1.75e-03	-3.341436	-1.98992	-0.397557	GCG	glucagon
8115144	3.16e-03	1.75e-03	3.341429	-1.989937	0.596587	ARSI	arylsulfatase family member I
8059642	3.16e-03	1.75e-03	-3.341319	-1.990231	-0.339041	SLC16A14	solute carrier family 16 member 14
8034873	3.16e-03	1.76e-03	-3.340658	-1.992003	-0.570323	ADGRE2	adhesion G protein-coupled receptor E2
8004152	3.17e-03	1.76e-03	-3.340391	-1.992718	-0.321235	WSCD1	WSC domain containing 1
7973214	3.17e-03	1.76e-03	3.340316	-1.99292	0.272424	TOX4	TOX high mobility group box family member 4
8078962	3.17e-03	1.76e-03	3.340288	-1.992995	0.699952	EIF1B	eukaryotic translation initiation factor 1B
7957835	3.17e-03	1.76e-03	-3.340269	-1.993045	-0.32879	NR1H4	nuclear receptor subfamily 1 group H member 4
8127511	3.17e-03	1.76e-03	-3.339902	-1.994027	-0.316188	KHDC1L///KHDC1	KH domain containing 1 like///KH homology domain containing 1
7950644	3.17e-03	1.76e-03	3.339442	-1.995259	0.482731	NDUFC2-KCTD14///NDUFC2	NDUFC2-KCTD14 readthrough///NADH:ubiquinone oxidoreductase subunit C2
8024038	3.18e-03	1.76e-03	-3.338768	-1.997066	-0.305119	AZU1	azurocidin 1
7945579	3.18e-03	1.77e-03	3.338618	-1.997466	0.469003	CHID1	chitinase domain containing 1
8098880	3.18e-03	1.77e-03	3.338342	-1.998205	0.421127	CTBP1	C-terminal binding protein 1
8121649	3.19e-03	1.77e-03	-3.337626	-2.000122	-0.216495	RFX6	regulatory factor X6
8026398	3.19e-03	1.77e-03	-3.337536	-2.000364	-0.547168	CASP14	caspase 14
7901982	3.19e-03	1.77e-03	-3.336923	-2.002005	-0.18802	UBE2U	ubiquitin conjugating enzyme E2 U (putative)
8003850	3.20e-03	1.78e-03	3.336237	-2.003841	0.394507	CYB5D2	cytochrome b5 domain containing 2
8119582	3.20e-03	1.78e-03	3.336176	-2.004005	0.312433	GLTSCR1L	GLTSCR1 like
7940914	3.20e-03	1.78e-03	3.335902	-2.004737	0.281116	FKBP2	FK506 binding protein 2
7904695	3.20e-03	1.78e-03	3.335822	-2.00495	0.48466	SEC22B	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)
7994813	3.20e-03	1.78e-03	3.335719	-2.005227	0.346875	ZNF48	zinc finger protein 48
8117700	3.20e-03	1.78e-03	-3.335479	-2.005868	-0.759676	GPX5	glutathione peroxidase 5
7961243	3.21e-03	1.78e-03	-3.335329	-2.00627	-0.438032	TAS2R8	taste 2 receptor member 8
8024373	3.21e-03	1.79e-03	-3.334693	-2.007973	-0.310361	IZUMO4	IZUMO family member 4
8168045	3.21e-03	1.79e-03	-3.334634	-2.00813	-0.549229	EFNB1	ephrin B1
