GSE39645,SAMD9L,1.765276,5.52E-13,6.22E-11,10.213307,Up
GSE39645,ERBB2,1.381404,5.82E-13,6.52E-11,10.195518,Up
GSE39645,HSPB6,-1.135066,6.02E-13,6.68E-11,-10.183903,Down
GSE39645,IGDCC4,-0.888356,6.06E-13,6.68E-11,-10.182028,Down
GSE39645,ERMAP,0.781535,6.08E-13,6.68E-11,10.180746,Up
GSE39645,BLOC1S2,1.046147,6.15E-13,6.72E-11,10.177054,Up
GSE39645,BDKRB1,-0.896299,6.71E-13,7.29E-11,-10.147597,Down
GSE39645,TMOD2,2.504124,7.1E-13,7.66E-11,10.128715,Up
GSE39645,RGS6,-1.100771,7.4E-13,7.93E-11,-10.115026,Down
GSE39645,A4GALT,-1.045132,7.78E-13,8.29E-11,-10.098268,Down
GSE39645,SHOX2,-1.133219,7.87E-13,8.34E-11,-10.094171,Down
GSE39645,GLRB,1.797297,8.21E-13,8.65E-11,10.079977,Up
GSE39645,ARFIP1,1.369925,8.54E-13,8.94E-11,10.066803,Up
GSE39645,ARHGEF6,1.919115,8.65E-13,9E-11,10.062548,Up
GSE39645,CACHD1,-1.634579,9E-13,9.32E-11,-10.049201,Down
GSE39645,TRIM14,1.177109,9.13E-13,9.36E-11,10.044692,Up
GSE39645,CCND2,1.761405,9.15E-13,9.36E-11,10.043692,Up
GSE39645,RGS1,3.512923,9.69E-13,9.85E-11,10.024583,Up
GSE39645,MDM2,1.296029,9.81E-13,9.91E-11,10.020669,Up
GSE39645,FIBIN,-2.042532,9.9E-13,9.95E-11,-10.017565,Down
GSE39645,TRIM22,1.542684,9.96E-13,9.95E-11,10.015566,Up
GSE39645,NEK6,1.578494,1.02E-12,1.01E-10,10.007184,Up
GSE39645,OBSL1,1.231396,1.03E-12,1.02E-10,10.004786,Up
GSE39645,IFI6,1.787168,1.06E-12,1.03E-10,9.995836,Up
GSE39645,CADM4,1.95941,1.06E-12,1.03E-10,9.995562,Up
GSE39645,TGFBR1,1.292902,1.07E-12,1.04E-10,9.990102,Up
GSE39645,PIK3IP1,1.471197,1.13E-12,1.09E-10,9.972664,Up
GSE39645,GRID1,-0.83759,1.19E-12,1.14E-10,-9.956901,Down
GSE39645,PARP3,0.936429,1.24E-12,1.18E-10,9.942997,Up
GSE39645,CTNNAL1,1.929651,1.28E-12,1.22E-10,9.931467,Up
GSE39645,ST3GAL4,1.499229,1.29E-12,1.22E-10,9.930005,Up
GSE39645,SMCO3,3.814344,1.32E-12,1.24E-10,9.921757,Up
