#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GATA3	NFIB	9606.ENSP00000368632	9606.ENSP00000370340	0	0	0	0	0	0.292	0	0.322	0.499
GATA3	PTPRC	9606.ENSP00000368632	9606.ENSP00000411355	0	0	0	0	0.049	0	0	0.631	0.634
GNAQ	PIK3CA	9606.ENSP00000286548	9606.ENSP00000263967	0	0	0	0	0.055	0.292	0.500	0.741	0.901
GNAQ	KIT	9606.ENSP00000286548	9606.ENSP00000288135	0	0	0	0	0.220	0	0	0.741	0.789
GNAQ	NRAS	9606.ENSP00000286548	9606.ENSP00000358548	0	0	0	0	0.057	0	0.900	0.747	0.974
KIAA1549	NRAS	9606.ENSP00000416040	9606.ENSP00000358548	0	0	0	0	0	0.068	0.400	0.245	0.541
KIT	PAX8	9606.ENSP00000288135	9606.ENSP00000263334	0	0	0	0	0	0	0	0.544	0.544
KIT	PIK3CA	9606.ENSP00000288135	9606.ENSP00000263967	0	0	0	0	0.106	0.325	0.900	0.809	0.986
KIT	MTOR	9606.ENSP00000288135	9606.ENSP00000354558	0	0	0	0	0	0	0	0.574	0.574
KIT	PDGFB	9606.ENSP00000288135	9606.ENSP00000330382	0	0	0	0	0.103	0	0.650	0.637	0.876
KIT	PTPRC	9606.ENSP00000288135	9606.ENSP00000411355	0	0	0	0	0.235	0.051	0	0.881	0.906
KIT	PIK3CB	9606.ENSP00000288135	9606.ENSP00000501150	0	0	0	0	0.108	0.087	0.900	0.580	0.961
KIT	NRAS	9606.ENSP00000288135	9606.ENSP00000358548	0	0	0	0	0.055	0.071	0.900	0.812	0.981
LRP1B	PIK3CA	9606.ENSP00000374135	9606.ENSP00000263967	0	0	0	0	0	0	0	0.581	0.581
LZTR1	PIK3CA	9606.ENSP00000496779	9606.ENSP00000263967	0	0	0	0	0.055	0	0	0.574	0.580
LZTR1	NRAS	9606.ENSP00000496779	9606.ENSP00000358548	0	0	0	0	0	0.659	0	0.635	0.870
MTOR	PIK3CA	9606.ENSP00000354558	9606.ENSP00000263967	0	0	0	0.548	0.060	0.166	0.900	0.592	0.963
MTOR	NTRK3	9606.ENSP00000354558	9606.ENSP00000354207	0	0	0	0	0	0.257	0	0.240	0.411
MTOR	PTPRC	9606.ENSP00000354558	9606.ENSP00000411355	0	0	0	0	0.063	0.053	0	0.401	0.422
MTOR	NRAS	9606.ENSP00000354558	9606.ENSP00000358548	0	0	0	0	0.074	0.390	0	0.519	0.705
MTOR	PIK3CB	9606.ENSP00000354558	9606.ENSP00000501150	0	0	0	0.549	0.082	0.166	0.900	0.350	0.943
NFIB	NTRK3	9606.ENSP00000370340	9606.ENSP00000354207	0	0	0	0	0.067	0.045	0	0.480	0.496
NRAS	PAX8	9606.ENSP00000358548	9606.ENSP00000263334	0	0	0	0	0	0	0	0.803	0.803
NRAS	PIK3CA	9606.ENSP00000358548	9606.ENSP00000263967	0	0	0	0	0.125	0.483	0.900	0.921	0.995
NRAS	PDGFB	9606.ENSP00000358548	9606.ENSP00000330382	0	0	0	0	0	0	0.500	0.312	0.641
NRAS	TGFBR2	9606.ENSP00000358548	9606.ENSP00000351905	0	0	0	0	0.074	0.110	0	0.379	0.443
NRAS	NTRK3	9606.ENSP00000358548	9606.ENSP00000354207	0	0	0	0	0.074	0.110	0.500	0.481	0.757
NRAS	PTPRC	9606.ENSP00000358548	9606.ENSP00000411355	0	0	0	0	0.065	0.087	0	0.369	0.415
NRAS	PIK3CB	9606.ENSP00000358548	9606.ENSP00000501150	0	0	0	0	0.074	0.133	0.900	0.422	0.947
NTRK3	PIK3CA	9606.ENSP00000354207	9606.ENSP00000263967	0	0	0	0	0.050	0.069	0.500	0.492	0.745
PAX8	PIK3CA	9606.ENSP00000263334	9606.ENSP00000263967	0	0	0	0	0	0	0	0.474	0.474
PDGFB	PIK3CA	9606.ENSP00000330382	9606.ENSP00000263967	0	0	0	0	0	0	0.400	0.230	0.518
PDGFB	PIK3CB	9606.ENSP00000330382	9606.ENSP00000501150	0	0	0	0	0	0	0.400	0.170	0.480
PIK3CA	PTPRC	9606.ENSP00000263967	9606.ENSP00000411355	0	0	0	0	0.205	0.049	0	0.338	0.457
PIK3CA	TGFBR2	9606.ENSP00000263967	9606.ENSP00000351905	0	0	0	0	0.049	0.069	0	0.496	0.515
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.060	0.882	0.083	0	0.900	0.984	0.998
PIK3CB	TGFBR2	9606.ENSP00000501150	9606.ENSP00000351905	0	0	0	0	0.042	0.503	0	0.187	0.579
PRDM1	PTPRC	9606.ENSP00000358092	9606.ENSP00000411355	0	0	0	0	0.152	0	0	0.575	0.624
PTPRC	TGFBR2	9606.ENSP00000411355	9606.ENSP00000351905	0	0	0	0	0.127	0.097	0	0.395	0.482
